Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,544429,824063,546609,473484
2005-02-01,568889,832414,546304,475340
2005-03-01,584882,837967,554655,472746
2005-04-01,589978,843056,559879,484004
2005-05-01,595577,857641,567831,492350
2005-06-01,617214,875578,578833,491328
2005-07-01,627778,890929,588495,497280
2005-08-01,636261,905125,596617,504022
2005-09-01,641441,920630,603674,506709
2005-10-01,639639,929858,608640,512132
2005-11-01,646200,936907,615705,520012
2005-12-01,647265,936927,616558,521464
2006-01-01,639186,937763,616588,526670
2006-02-01,651839,939552,620548,529179
2006-03-01,650572,935906,618369,526859
2006-04-01,652122,939084,620722,528640
2006-05-01,662064,942038,624437,533158
2006-06-01,668895,950151,628563,535862
2006-07-01,676211,958737,635825,545138
2006-08-01,681429,961809,639735,553204
2006-09-01,693628,969514,644365,553428
2006-10-01,693118,969289,645932,559125
2006-11-01,694265,972218,648403,560464
2006-12-01,702256,966977,647731,557256
2007-01-01,704385,962932,645559,556331
2007-02-01,694071,954958,639392,555503
2007-03-01,690022,945593,633879,550888
2007-04-01,691942,961246,636820,549277
2007-05-01,688426,973724,636930,542470
2007-06-01,686371,988193,638752,542964
2007-07-01,685578,995914,639472,541486
2007-08-01,685234,1004960,640522,538425
2007-09-01,682242,1010989,640623,535613
2007-10-01,681235,1018036,641031,535449
2007-11-01,684247,1024975,641397,529077
2007-12-01,685578,1025623,641357,527067
2008-01-01,677480,1021633,635337,519716
2008-02-01,671967,1027928,634462,517652
2008-03-01,667512,1030232,631262,514244
2008-04-01,659682,1026574,625930,510586
2008-05-01,656314,1030613,625490,508331
2008-06-01,654737,1035559,625542,506395
2008-07-01,654829,1037479,624363,502523
2008-08-01,655379,1034626,621559,497127
2008-09-01,652850,1030241,619306,496413
2008-10-01,650247,1028321,616294,495517
2008-11-01,641539,1021326,609473,492108
2008-12-01,631004,1007912,602180,488380
2009-01-01,613065,994450,592505,482027
2009-02-01,602438,978601,582035,473482
2009-03-01,602339,968197,575755,467402
2009-04-01,594602,941734,566202,463613
2009-05-01,595072,934117,562611,461657
2009-06-01,585571,920212,554164,455398
2009-07-01,586489,908927,550091,450066
2009-08-01,582089,899185,546153,447239
2009-09-01,580676,898454,543493,443312
2009-10-01,575183,895187,540667,440896
2009-11-01,569503,887610,537916,439295
2009-12-01,560863,886622,536940,440454
2010-01-01,560664,888704,535752,436759
2010-02-01,560584,888524,532751,432645
2010-03-01,556014,887308,531834,432684
2010-04-01,554454,887911,530517,430516
2010-05-01,555653,889998,531440,431936
2010-06-01,558476,894538,533261,432681
2010-07-01,553444,893877,530341,431137
2010-08-01,550329,898224,529526,430501
2010-09-01,548655,901595,528305,429191
2010-10-01,548934,897976,525435,425542
2010-11-01,545829,899305,523772,423721
2010-12-01,539120,896475,521485,422355
2011-01-01,539256,899284,521859,422666
2011-02-01,541684,893766,520395,420043
2011-03-01,544109,888665,519581,420417
2011-04-01,543262,891771,519082,416957
2011-05-01,538212,896756,519308,420180
2011-06-01,539966,897180,519669,420314
2011-07-01,541281,898157,519400,420311
2011-08-01,541604,896374,518536,418479
2011-09-01,537737,899763,518550,418321
2011-10-01,532545,900204,515682,413712
2011-11-01,535982,893388,514790,412027
2011-12-01,533971,900205,515599,413687
2012-01-01,535328,900536,514962,412407
2012-02-01,538470,898376,514924,412550
2012-03-01,538046,901487,514362,412961
2012-04-01,540242,894456,513660,413067
2012-05-01,538461,901569,514767,412042
2012-06-01,538960,907806,515566,410576
2012-07-01,534730,916477,514828,407125
2012-08-01,531941,922750,514698,403669
2012-09-01,533674,923579,516100,405695
2012-10-01,540204,922961,517215,404633
2012-11-01,539675,924871,517402,405219
2012-12-01,539278,931588,518972,406256
2013-01-01,541433,931682,518230,404760
2013-02-01,541916,934729,518084,405115
2013-03-01,538228,940263,516748,401682
2013-04-01,547289,947469,521652,404709
2013-05-01,555990,954298,525855,405474
2013-06-01,558660,960971,527813,404762
2013-07-01,566810,974132,533130,406817
2013-08-01,569852,983015,536417,409575
2013-09-01,575276,990047,538266,410024
2013-10-01,576981,997304,539985,410662
2013-11-01,574127,1007391,540627,412970
2013-12-01,572124,1014071,540251,411869
2014-01-01,579603,1019587,544979,416996
2014-02-01,581798,1029090,548047,417721
2014-03-01,583228,1036089,549079,418984
2014-04-01,590227,1040694,551276,419314
2014-05-01,598718,1047515,557017,420904
2014-06-01,603193,1058563,560154,422200
2014-07-01,611754,1066716,565955,425274
2014-08-01,618174,1073631,568659,424752
2014-09-01,617936,1075761,567967,424051
2014-10-01,624139,1080148,571086,427087
2014-11-01,627931,1083304,570462,426009
2014-12-01,624877,1085405,570307,428875
2015-01-01,632194,1094409,574480,432098
2015-02-01,646622,1091345,577270,433229
2015-03-01,647866,1092370,576198,430203
2015-04-01,648005,1094345,577774,430852
2015-05-01,655144,1105251,581774,432936
2015-06-01,657876,1112322,584339,436664
2015-07-01,665631,1122368,590776,441891
2015-08-01,672121,1129201,594860,444369
2015-09-01,679113,1134466,599188,449245
2015-10-01,676341,1137153,598871,452789
2015-11-01,683564,1149124,602047,455108
2015-12-01,691234,1148287,603777,454613
2016-01-01,687318,1151461,604500,453250
2016-02-01,682985,1147533,603696,457273
2016-03-01,692904,1140321,602856,454698
2016-04-01,689398,1141545,601221,455977
2016-05-01,690623,1143443,602286,458747
2016-06-01,693931,1148253,602994,458901
2016-07-01,699271,1152571,606225,459692
2016-08-01,697014,1150732,605763,459947
2016-09-01,695827,1150193,605343,462755
2016-10-01,692088,1150070,606008,468008
2016-11-01,693575,1150680,606210,468915
2016-12-01,699441,1151559,608600,471804
2017-01-01,701838,1158773,613008,477301
2017-02-01,701828,1151910,612091,476694
2017-03-01,711683,1148564,613821,474398
2017-04-01,715400,1155808,618152,476387
2017-05-01,716687,1159377,619523,478350
2017-06-01,720221,1164637,620933,480415
2017-07-01,722426,1164433,621952,482678
2017-08-01,716756,1164421,622202,485456
2017-09-01,713875,1164840,625597,492207
2017-10-01,712664,1167440,624727,491165
2017-11-01,704715,1168816,623563,495615
2017-12-01,702196,1163196,623829,496981
2018-01-01,712775,1167069,627986,500351
2018-02-01,709945,1158132,625629,502505
2018-03-01,714719,1160408,627993,504369
2018-04-01,714164,1162970,628915,505271
2018-05-01,713575,1160074,628665,508451
2018-06-01,713916,1156919,628095,508954
2018-07-01,719127,1155676,630133,511720
2018-08-01,714281,1156719,631643,512784
2018-09-01,708609,1146121,630347,514466
2018-10-01,707851,1142559,629337,512472
2018-11-01,707973,1139198,629770,512343
2018-12-01,701363,1132708,627724,514136
2019-01-01,699259,1126350,625924,511854
2019-02-01,700924,1119427,626211,513642
2019-03-01,704080,1117066,625492,512101
2019-04-01,706620,1111794,625200,512065
2019-05-01,707743,1113381,626897,514946
2019-06-01,702695,1112938,624210,512708
2019-07-01,699835,1109771,623005,511277
2019-08-01,693111,1103131,620990,508482
2019-09-01,699794,1098548,622128,508728
2019-10-01,701844,1098575,622525,509286
2019-11-01,696434,1099536,621212,508710
2019-12-01,696920,1089182,620568,507661
2020-01-01,704329,1089413,623906,512027
2020-02-01,705245,1082625,620005,509534
2020-03-01,703102,1078313,622136,514979
2020-04-01,698044,1081661,618399,511626
2020-05-01,689321,1078894,610782,505967
2020-06-01,691415,1070363,611055,508343
2020-07-01,693839,1068078,608704,504464
2020-08-01,684877,1059208,606611,501074
2020-09-01,681482,1053692,606774,503421
2020-10-01,682329,1048923,605328,503080
2020-11-01,679080,1036411,604685,504676
2020-12-01,670942,1028495,602884,508512
2021-01-01,668913,1025270,604053,508254
2021-02-01,660655,1022852,599897,506337
2021-03-01,655943,1018325,594468,501881
2021-04-01,659946,1019510,594911,506289
2021-05-01,667857,1022152,596762,508459
2021-06-01,666762,1027807,595274,506613
2021-07-01,674496,1033839,597310,506458
2021-08-01,674600,1039651,597645,506713
2021-09-01,678342,1045952,597878,507153
2021-10-01,682755,1054606,600279,505511
2021-11-01,679073,1061229,602991,509648
2021-12-01,687604,1065669,608496,511103
2022-01-01,681815,1070054,611257,514352
2022-02-01,683249,1075601,613063,516789
2022-03-01,686946,1077239,614777,519387
2022-04-01,686846,1083938,616669,521206
2022-05-01,697306,1092216,621467,522571
2022-06-01,690149,1102407,619424,520419
