Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2538.000,2207.000,
2007-02-01,,2466.000,2162.000,
2007-03-01,,2480.000,2180.000,
2007-04-01,,2514.000,2196.000,
2007-05-01,,2538.000,2220.000,
2007-06-01,,2560.000,2238.000,
2007-07-01,,2598.000,2270.000,
2007-08-01,,2632.000,2297.000,
2007-09-01,,2648.000,2313.000,
2007-10-01,,2658.000,2326.000,
2007-11-01,,2679.000,2339.000,
2007-12-01,,2687.000,2346.000,
2008-01-01,,2691.000,2347.000,
2008-02-01,,2688.000,2350.000,
2008-03-01,,2694.000,2356.000,
2008-04-01,,2695.000,2356.000,
2008-05-01,,2695.000,2356.000,
2008-06-01,,2695.000,2357.000,
2008-07-01,,2696.000,2359.000,
2008-08-01,,2698.000,2362.000,
2008-09-01,,2685.000,2352.000,
2008-10-01,,2656.000,2329.000,
2008-11-01,,2626.000,2303.000,
2008-12-01,,2589.000,2271.000,
2009-01-01,,2553.000,2241.000,
2009-02-01,,2519.000,2212.000,
2009-03-01,,2492.000,2189.000,
2009-04-01,,2466.000,2167.000,
2009-05-01,,2448.000,2153.000,
2009-06-01,,2438.000,2144.000,
2009-07-01,,2439.000,2144.000,
2009-08-01,,2435.000,2141.000,
2009-09-01,,2434.000,2141.000,
2009-10-01,,2428.000,2136.000,
2009-11-01,,2416.000,2126.000,
2009-12-01,,2408.000,2119.000,
2010-01-01,1846.000,2413.000,2123.000,
2010-02-01,1837.000,2418.000,2127.000,
2010-03-01,1847.000,2422.000,2130.000,
2010-04-01,1855.000,2430.000,2135.000,
2010-05-01,1869.000,2442.000,2146.000,
2010-06-01,1887.000,2457.000,2160.000,
2010-07-01,1892.000,2475.000,2174.000,
2010-08-01,1902.000,2489.000,2187.000,
2010-09-01,1906.000,2505.000,2201.000,
2010-10-01,1922.000,2515.000,2211.000,
2010-11-01,1913.000,2522.000,2215.000,
2010-12-01,1933.000,2529.000,2223.000,
2011-01-01,1936.000,2541.000,2233.000,
2011-02-01,1941.000,2553.000,2242.000,
2011-03-01,1941.000,2567.000,2254.000,
2011-04-01,1962.000,2584.000,2269.000,
2011-05-01,1979.000,2598.000,2282.000,
2011-06-01,1992.000,2616.000,2298.000,
2011-07-01,2007.000,2636.000,2314.000,
2011-08-01,2022.000,2652.000,2329.000,
2011-09-01,2034.000,2665.000,2341.000,
2011-10-01,2046.000,2679.000,2353.000,
2011-11-01,2052.000,2684.000,2358.000,
2011-12-01,2053.000,2688.000,2361.000,
2012-01-01,2055.000,2695.000,2367.000,1757.000
2012-02-01,2067.000,2704.000,2375.000,1788.000
2012-03-01,2071.000,2717.000,2386.000,1795.000
2012-04-01,2091.000,2730.000,2398.000,1779.000
2012-05-01,2102.000,2747.000,2413.000,1798.000
2012-06-01,2115.000,2759.000,2424.000,1789.000
2012-07-01,2130.000,2775.000,2438.000,1794.000
2012-08-01,2145.000,2789.000,2450.000,1786.000
2012-09-01,2155.000,2798.000,2458.000,1806.000
2012-10-01,2168.000,2804.000,2464.000,1803.000
2012-11-01,2185.000,2809.000,2470.000,1823.000
2012-12-01,2196.000,2809.000,2472.000,1826.000
2013-01-01,2200.000,2812.000,2475.000,1828.000
2013-02-01,2206.000,2822.000,2484.000,1821.000
2013-03-01,2210.000,2830.000,2490.000,1838.000
2013-04-01,2224.000,2838.000,2498.000,1841.000
2013-05-01,2241.000,2854.000,2513.000,1847.000
2013-06-01,2258.000,2866.000,2525.000,1851.000
2013-07-01,2276.000,2878.000,2536.000,1867.000
2013-08-01,2290.000,2889.000,2547.000,1876.000
2013-09-01,2299.000,2899.000,2555.000,1881.000
2013-10-01,2307.000,2903.000,2559.000,1885.000
2013-11-01,2308.000,2902.000,2558.000,1879.000
2013-12-01,2307.000,2897.000,2554.000,1873.000
2014-01-01,2309.000,2900.000,2556.000,1879.000
2014-02-01,2314.000,2903.000,2559.000,1882.000
2014-03-01,2317.000,2911.000,2565.000,1884.000
2014-04-01,2330.000,2926.000,2578.000,1898.000
2014-05-01,2346.000,2945.000,2594.000,1905.000
2014-06-01,2359.000,2958.000,2606.000,1913.000
2014-07-01,2372.000,2971.000,2619.000,1929.000
2014-08-01,2388.000,2986.000,2633.000,1939.000
2014-09-01,2394.000,2992.000,2640.000,1954.000
2014-10-01,2394.000,2996.000,2642.000,1963.000
2014-11-01,2395.000,2996.000,2642.000,1965.000
2014-12-01,2396.000,2996.000,2643.000,1972.000
2015-01-01,2405.000,3001.000,2648.000,1977.000
2015-02-01,2411.000,3012.000,2657.000,1988.000
2015-03-01,2417.000,3024.000,2667.000,1987.000
2015-04-01,2430.000,3040.000,2680.000,1995.000
2015-05-01,2443.000,3059.000,2696.000,2006.000
2015-06-01,2458.000,3077.000,2712.000,2015.000
2015-07-01,2473.000,3091.000,2726.000,2030.000
2015-08-01,2485.000,3104.000,2738.000,2041.000
2015-09-01,2496.000,3110.000,2745.000,2047.000
2015-10-01,2498.000,3111.000,2746.000,2046.000
2015-11-01,2501.000,3106.000,2743.000,2047.000
2015-12-01,2500.000,3101.000,2739.000,2044.000
2016-01-01,2500.000,3100.000,2739.000,2050.000
2016-02-01,2500.000,3101.000,2739.000,2051.000
2016-03-01,2505.000,3107.000,2745.000,2056.000
2016-04-01,2513.000,3117.000,2754.000,2063.000
2016-05-01,2520.000,3132.000,2765.000,2071.000
2016-06-01,2528.000,3144.000,2775.000,2081.000
2016-07-01,2536.000,3152.000,2783.000,2084.000
2016-08-01,2542.000,3157.000,2789.000,2091.000
2016-09-01,2548.000,3156.000,2791.000,2097.000
2016-10-01,2544.000,3148.000,2785.000,2097.000
2016-11-01,2541.000,3135.000,2775.000,2092.000
2016-12-01,2533.000,3125.000,2767.000,2090.000
2017-01-01,2529.000,3117.000,2761.000,2086.000
2017-02-01,2527.000,3112.000,2758.000,2093.000
2017-03-01,2528.000,3114.000,2759.000,2093.000
2017-04-01,2533.000,3122.000,2766.000,2099.000
2017-05-01,2540.000,3133.000,2775.000,2098.000
2017-06-01,2549.000,3145.000,2785.000,2106.000
2017-07-01,2558.000,3155.000,2794.000,2113.000
2017-08-01,2568.000,3162.000,2800.000,2116.000
2017-09-01,2570.000,3161.000,2801.000,2120.000
2017-10-01,2564.000,3153.000,2793.000,2105.000
2017-11-01,2557.000,3137.000,2780.000,2093.000
2017-12-01,2553.000,3127.000,2772.000,2078.000
2018-01-01,2549.000,3120.000,2766.000,2074.000
2018-02-01,2549.000,3124.000,2768.000,2074.000
2018-03-01,2553.000,3129.000,2773.000,2077.000
2018-04-01,2562.000,3141.000,2783.000,2082.000
2018-05-01,2572.000,3158.000,2796.000,2089.000
2018-06-01,2584.000,3175.000,2811.000,2100.000
2018-07-01,2595.000,3190.000,2823.000,2110.000
2018-08-01,2605.000,3204.000,2836.000,2123.000
2018-09-01,2609.000,3212.000,2842.000,2128.000
2018-10-01,2607.000,3208.000,2839.000,2129.000
2018-11-01,2602.000,3203.000,2833.000,2127.000
2018-12-01,2592.000,3195.000,2826.000,2127.000
2019-01-01,2591.000,3192.000,2823.000,2123.000
2019-02-01,2594.000,3197.000,2827.000,2126.000
2019-03-01,2606.000,3206.000,2836.000,2134.000
2019-04-01,2620.000,3219.000,2848.000,2139.000
2019-05-01,2637.000,3236.000,2866.000,2151.000
2019-06-01,2652.000,3253.000,2882.000,2164.000
2019-07-01,2668.000,3270.000,2897.000,2176.000
2019-08-01,2688.000,3284.000,2913.000,2184.000
2019-09-01,2702.000,3290.000,2921.000,2189.000
2019-10-01,2707.000,3286.000,2920.000,2192.000
2019-11-01,2710.000,3283.000,2918.000,2186.000
